question,category,difficulty,answer,ground_truth,citation_accuracy,retrieval_recall,refusal_appropriate,ground_truth_match,faithfulness,answer_relevancy,context_precision
What is the recommended duration of maintenance immunotherapy for patients who received front-line immunotherapy?,treatment_duration,easy,"The recommended duration of maintenance immunotherapy for patients who received front-line immunotherapy is 2 years, if tolerated (NCCN_Breast_2024.pdf).",2 years if tolerated,0.0,1.0,1.0,0.0,1.0,0.9999137492012468,0.424999999989375
Which targeted therapy is preferred as first-line treatment for patients with EGFR exon 19 deletion or L858R mutations?,targeted_therapy,easy,The preferred targeted therapy as first-line treatment for patients with EGFR exon 19 deletion or L858R mutations is osimertinib (NCCN_Breast_2024.pdf).,osimertinib,0.0,1.0,1.0,1.0,1.0,0.8879895078920615,0.39694264068767887
"What imaging studies are recommended to rule out metastatic disease in patients with T1-2, N2 disease confirmed before thoracotomy?",diagnostic_imaging,medium,"For patients with T1-2, N2 disease confirmed before thoracotomy, the NCCN Guidelines recommend an initial brain MRI with contrast and an FDG PET/CT scan (if not previously done) to rule out metastatic disease (NSCL-19, NSCL-11).",brain MRI with contrast and FDG PET/CT scan,1.0,1.0,1.0,0.0,1.0,0.7863005800845192,0.09808612439700956
"For patients with performance status 2 and nonsquamous NSCLC, what are the recommended single-agent chemotherapy options?",chemotherapy,medium,"For patients with performance status (PS) 2 and nonsquamous NSCLC, the recommended single-agent chemotherapy options include gemcitabine, pemetrexed, or taxanes (NCCN_Breast_2024.pdf).","gemcitabine, pemetrexed, or taxanes",1.0,1.0,1.0,1.0,1.0,0.8080551651685335,0.699999999965
Which biomarkers should be included in molecular testing for patients with metastatic nonsquamous NSCLC?,biomarker_testing,hard,"For patients with metastatic nonsquamous NSCLC, the NCCN Guidelines recommend assessing the following biomarkers: ALK rearrangements, BRAF mutations, EGFR mutations, ERBB2 (HER2) mutations, KRAS mutations, MET ex14 skipping mutations, NTRK1/2/3 fusions, RET rearrangements, ROS1 rearrangements, and PD-L1 expression levels (NCCN_Breast_2024.pdf).","EGFR mutation, ALK, KRAS, ROS1, BRAF, NTRK1/2/3, MET exon 14 skipping, RET, ERBB2 (HER2), NRG1, HER2 (IHC), and HGFR(MET) IHC",1.0,1.0,1.0,0.6,1.0,0.6828349750888179,0.6093669488359456
What are the criteria for administering bevacizumab to patients with NSCLC?,contraindications,medium,"Criteria for administering bevacizumab to patients with non-small cell lung cancer (NSCLC) include having nonsquamous NSCLC and no recent history of hemoptysis. Additionally, any regimen with a high risk of thrombocytopenia and the potential risk of bleeding should be used with caution in combination with bevacizumab (NCCN_Guidelines_Version_1.2026_NSCLC.pdf, page 106).",Nonsquamous NSCLC and no recent history of hemoptysis,1.0,1.0,1.0,1.0,1.0,0.7819961928627996,0.06249999999375
By which demographic characteristics must clinical study enrollment goals be disaggregated in a Diversity Action Plan?,regulatory_requirements,easy,"Clinical study enrollment goals must be disaggregated by race, ethnicity, sex, and age group of the clinically relevant study population in a Diversity Action Plan (fda_guidance.pdf, page 17).","Race, ethnicity, sex, and age group",1.0,1.0,1.0,1.0,1.0,0.5349449092152121,0.5052199316209677
What are the three statutory criteria under which the FDA may grant a waiver for a Diversity Action Plan?,waivers,hard,"The three statutory criteria under which the FDA may grant a waiver for a Diversity Action Plan are:

a. A waiver is necessary based on what is known or what can be determined about the prevalence or incidence in the U.S. of the disease or condition for which the new drug or device is under development.

b. Conducting a clinical investigation in accordance with a Diversity Action Plan would otherwise be impracticable.

c. A waiver is necessary to protect public health during a public health emergency (fda_guidance.pdf, page 23).",1. A waiver is necessary based on the prevalence or incidence of the disease or condition in the U.S.; 2. Conducting a clinical investigation in accordance with a Diversity Action Plan would otherwise be impracticable; 3. A waiver is necessary to protect public health during a public health emergency,1.0,1.0,1.0,0.0,0.75,0.9095262371528313,0.5890277163398806
What five prominent themes regarding minority recruitment emerged from the qualitative interviews with cancer center stakeholders?,qualitative_analysis,hard,"The five prominent themes regarding minority recruitment that emerged from the qualitative interviews with cancer center stakeholders are:

1. Recruitment interactions with potential minority participants were perceived to be challenging.
2. Potential minority participants were not perceived to be ideal study candidates.
3. A combination of clinic-level barriers and negative perceptions of minority study participants led to providers withholding clinical trial opportunities from potential minority participants.
4. When clinical trial recruitment practices were tailored to minority patients, addressing research misconceptions to build trust was a common strategy.
5. For some respondents, race was perceived as irrelevant when screening and recruiting potential minority participants for clinical trials (diversity_study.pdf, page 1).",1. Interactions with potential minority participants were perceived to be challenging; 2. Potential minority participants were not perceived to be ideal study candidates; 3. A combination of clinic-level barriers and negative perceptions led to withholding trial opportunities; 4. Tailored recruitment practices often focused on addressing research misconceptions to build trust; 5. Some respondents viewed race as irrelevant when screening/recruiting,1.0,1.0,1.0,0.0,1.0,0.8662536717451449,0.39466873705346356
"According to the study, what specific negative stereotype did referring clinicians often associate with minority patients regarding clinical trials?",stereotyping,medium,"Referring clinicians often associated minority patients with the negative stereotype of noncompliance with clinical trial activities, which potentially led to differential patient referral to cancer clinical trials based on race and ethnicity (diversity_study.pdf, page 8).",Lower potential for adherence or compliance to study protocols,1.0,1.0,1.0,0.0,1.0,0.6913476762583335,0.13032581453199665
